case,mask_id,dice_bp_direct,dice_bp_medsam,dice_gt_medsam
s0751,12,0.7010761755996588,0.5224740939835846,
s0751,13,0.319693847512511,0.0384384384384384,
s0774,1,0.0,0.0001498015129952,
s0783,1,0.0016120365394948,0.0,
s0791,1,0.004749747669655,0.0058786058786058,
s0791,2,0.0,0.0,
s0791,3,0.1626056971172996,0.4207913675959023,
s0791,4,0.0,0.0,
s0804,1,0.0,0.0,
s0804,2,0.0892857142857142,0.0923076923076923,
s0804,3,0.0038816108685104,0.0,
s0804,4,0.009604190919674,0.0204167015312526,
s0837,1,0.0,0.0,
s0840,1,0.0,0.0,
s0840,2,0.0,0.0,
s0840,3,0.0081314034802406,0.03087192323738,
s0840,4,0.6460433225609223,0.7119262014807977,
s0840,5,0.6088687390242707,0.5482699621192311,
s0840,6,0.4904000050212461,0.2995428625288656,
s0840,7,0.5842192887830245,0.6994733114132397,
s0840,8,0.5886533902875256,0.5518849167673775,
s0858,1,0.0,0.0,
s0858,2,0.0252242324057917,0.0345782885286271,
s0858,3,0.2096604655042963,0.1504939100412391,
s0858,4,0.0,0.0,
s0858,5,0.0014961986116668,0.003430881328872,
s0895,1,0.0445508982035928,0.0,
s0931,1,0.0625808934130898,0.0599556888574055,
s0931,2,0.0213208528341133,0.0248962655601659,
s0931,3,0.0,0.0,
s0931,4,0.1370716510903426,0.0899965385946694,
s0931,5,0.026321036889332,0.026616618324518,
s0931,6,0.0,0.0,
s0931,7,0.0,0.0,
s0931,8,0.0,0.0,
s1004,1,0.0812017053024247,0.0364275540200624,
s1004,2,0.0,0.0,
s1004,3,0.0,0.0,
s1004,4,0.302872653245872,0.3072585254334158,
s1013,1,0.050946523597662,0.0398115047123821,
s1013,2,0.475,0.3055975794251134,
s1013,3,0.2321248741188318,0.4801470588235294,
s1013,4,0.0268915223336371,0.0277693321171582,
s1013,5,0.8232308528928707,0.773386973301445,
s1025,1,0.0569294927747066,0.0705712380529006,
s1025,2,0.0,0.0,
s1025,3,0.0,0.0,
s1025,4,0.5578737718715885,0.6554812613505036,
s1025,5,0.4580092092757153,0.5072219911521155,
s1025,6,0.4704614732886993,0.2501246081765116,
s1025,7,0.8489952638969323,0.8101988854511408,
s1025,8,0.6240686966637362,0.4823492965780402,
s1026,1,0.0037854889589905,0.0,
s1026,2,0.0,0.0,
s1026,3,0.0630230916607845,0.0485223087884227,
s1026,4,0.0,0.0,
s1062,1,0.0558090558090558,0.0395685596805911,
s1062,2,0.0026963262554769,0.0033840947546531,
s1062,3,0.0,0.0,
s1062,4,0.0477137176938369,0.0545229244114002,
s1062,5,0.0,0.0,
s1062,6,0.148471615720524,0.0765864332603938,
s1062,7,0.8083999614680667,0.7472599885651159,
s1077,1,0.0,0.0,
s1077,2,0.0,0.0,
s1077,3,0.0423470799889288,0.0338772123893805,
s1077,4,0.0,0.0,
s1077,5,0.0423654015887025,0.0230733733271804,
s1077,6,0.0,0.0,
s1094,1,0.001289266853445,0.0012341283968197,
s1094,2,0.0,0.0,
s1094,3,0.0016207455429497,0.0016325049882096,
s1142,1,0.0,0.0,
s1142,2,0.033556250247319,0.0325184764070494,
s1142,3,0.0145439141485456,0.0202305051495831,
s1142,4,0.0,0.0,
s1142,5,0.0,0.0,
s1142,6,0.0027800945232137,0.0026212319790301,
s1142,7,0.9130235054617196,0.8357714352608522,
s1208,1,0.0,0.0,
s1208,2,0.0278570613083685,0.0506627393225331,
s1208,3,0.0690768237572627,0.0698997001344225,
